scene,timecode,lyric_section,visual,shot,camera,continuity
1,00:00-00:08,Intro,"dark classroom wakes up with floating blue-white interface particles","wide establishing","slow dolly in","same classroom palette"
2,00:08-00:16,Verse 1,"teacher and student team write a prompt on a transparent screen","medium two-shot","gentle lateral move","same main teacher/student"
3,00:16-00:24,Verse 1,"AI answer appears; team marks CHECK and compares sources","over-shoulder","push in","screens stay readable but no invented logos"
4,00:24-00:32,Pre-Chorus,"prompt transforms into storyboard cards, then into a game screen","dynamic montage","smooth match cuts","blue/green workshop identity"
5,00:32-00:40,Chorus,"students play web game; score rises; team celebrates","wide + close inserts","handheld-like smooth energy","same cast"
6,00:40-00:48,Chorus,"AR objects float over real classroom camera view","medium immersive","orbit 15 degrees","same cast / same room"
7,00:48-00:56,Verse 2,"different teams test on laptop, tablet, mobile","montage","controlled whip transitions","consistent wardrobe"
8,00:56-01:04,Bridge,"student pauses before sharing; checks source and privacy checklist","close-up","slow push in","calmer lighting"
9,01:04-01:12,Final Chorus,"teacher and student present prototype to peers","hero wide","crane-like rise","same characters"
10,01:12-01:20,Final/Outro,"workshop map becomes six glowing mission nodes; group exits smiling","wide finale","pull back","clean ending frame"
